Neuron_type,Modality,Ciliated,Neurotransmitter
ADA,Interneuron,No,Glutamate
ADE,Sensory,Yes,Dopamine
ADF,Sensory,Yes,ACh/Serotonin
ADL,Sensory,Yes,Glutamate
AFD,Sensory,Yes,Glutamate
AIA,Interneuron,No,ACh
AIB,Interneuron,No,Glutamate
AIM,Interneuron,No,Glutamate
AIN,Interneuron,No,ACh
AIY,Interneuron,No,ACh
AIZ,Interneuron,No,Glutamate
ALA,Sensory,No,GABA
ALM,Sensory,No,Glutamate
ALN,Sensory,No,ACh
AQR,Sensory,Yes,Glutamate
AS,Motor,No,ACh
ASEL,Sensory,Yes,Glutamate
ASER,Sensory,Yes,Glutamate
ASG,Sensory,Yes,Glutamate
ASH,Sensory,Yes,Glutamate
ASI,Sensory,Yes,Unknown
ASJ,Sensory,Yes,ACh
ASK,Sensory,Yes,Glutamate
AUA,Interneuron,No,Glutamate
AVA,Interneuron,No,ACh
AVB,Interneuron,No,ACh
AVD,Interneuron,No,ACh
AVE,Interneuron,No,ACh
AVF,Interneuron,No,GABA
AVG,Interneuron,No,ACh
AVH,Interneuron,No,Unknown
AVJ,Interneuron,No,Unknown
AVK,Interneuron,No,Unknown
AVL,Motor,No,GABA
AVM,Sensory,No,Glutamate
AWA,Sensory,Yes,Unknown
AWB,Sensory,Yes,ACh
AWC,Sensory,Yes,Glutamate
BAG,Sensory,Yes,Glutamate
BDU,Interneuron,No,Unknown
CAN,Interneuron,No,Unknown
CEP,Sensory,Yes,Dopamine
DA,Motor,No,ACh
DB,Motor,No,ACh
DD,Motor,No,GABA
DVA,Interneuron,No,ACh
DVB,Motor,No,GABA
DVC,Interneuron,No,Glutamate
FLP,Sensory,Yes,Glutamate
HSN,Motor,No,ACh/Serotonin
I1,pharyngeal,No,ACh
I2,pharyngeal,No,Glutamate
I3,pharyngeal,No,ACh
I4,pharyngeal,No,Unknown
I5,pharyngeal,No,Glutamate
I6,pharyngeal,No,Unknown
IL1,Sensory,Yes,Glutamate
IL2,Sensory,Yes,ACh
LUA,Interneuron,No,Glutamate
M1,pharyngeal,No,ACh
M2,pharyngeal,No,ACh
M3,pharyngeal,No,Glutamate
M4,pharyngeal,No,ACh
M5,pharyngeal,No,ACh/Glutamate
MC,pharyngeal,No,ACh
MI,pharyngeal,No,Glutamate
NSM,pharyngeal,No,Serotonin
OLL,Sensory,Yes,Glutamate
OLQ,Sensory,Yes,Glutamate
PDA,Motor,No,ACh
PDB,Motor,No,ACh
PDE,Sensory,Yes,Dopamine
PHA,Sensory,Yes,Glutamate
PHB,Sensory,Yes,Glutamate
PHC,Sensory,No,Glutamate
PLM,Sensory,No,Glutamate
PLN,Sensory,No,ACh
PQR,Sensory,Yes,Glutamate
PVC,Interneuron,No,ACh
PVD,Sensory,No,Glutamate
PVM,Sensory,No,Unknown
PVN,Interneuron,No,ACh
PVP,Interneuron,No,ACh
PVQ,Interneuron,No,Glutamate
PVR,Interneuron,Yes,Glutamate
PVT,Interneuron,No,Unknown
PVW,Interneuron,No,Unknown
RIA,Interneuron,No,Glutamate
RIB,Interneuron,No,GABA
RIC,Interneuron,No,Octopamine
RID,Interneuron,No,GABA
RIF,Interneuron,No,ACh
RIG,Interneuron,No,Glutamate
RIH,Interneuron,No,ACh
RIM,Motor,No,Glutamate
RIP,Interneuron,No,Unknown
RIR,Interneuron,No,ACh
RIS,Interneuron,No,GABA
RIV,Interneuron,No,ACh
RIV,Interneuron,No,ACh
RMD,Motor,No,ACh
RME,Motor,No,GABA
RMF,Motor,No,ACh
RMG,Motor,No,Unknown
RMH,Motor,No,ACh
SAA,Interneuron,No,ACh
SAB,Motor,No,ACh
SDQ,Interneuron,No,ACh
SIA,Motor,No,ACh
SIB,Motor,No,ACh
SMB,Motor,No,ACh
SMD,Motor,No,ACh
URA,Sensory,No,ACh
URB,Sensory,No,ACh
URX,Sensory,No,ACh
URY,Sensory,No,Glutamate
VA,Motor,No,ACh
VB,Motor,No,ACh
VC,Motor,No,ACh/Serotonin
VD,Motor,No,GABA
